rx;tx;name;lon;norad_id
243625;316725;63° ComSatBw 1;63.0;35943
243625;300400;13° ComSatBw 2;13.0;36582
243800;298200;72° Intelsat 22;72.0;38098
243915;317015;75° UFO F11;75.0;28117
243935;317035;75° UFO F11;75.0;28117
243945;317045;75° UFO F11;75.0;28117
243955;317055;75° UFO F11;75.0;28117
243965;317065;75° UFO F11;75.0;28117
243975;317075;75° UFO F11;75.0;28117
243985;317085;125° FltSatCom F8;125.0;20253
243990;317090;125° FltSatCom F8;125.0;20253
243995;317095;125° FltSatCom F8;125.0;20253
243995;317095;-22° UFO F10;-22.0;25967
244000;317100;125° FltSatCom F8;125.0;20253
244005;317105;-22° UFO F10;-22.0;25967
244010;317110;125° FltSatCom F8;125.0;20253
244015;317115;-22° UFO F10;-22.0;25967
244025;317125;-22° UFO F10;-22.0;25967
244030;317180;75° UFO F11;75.0;28117
244035;317135;-22° UFO F10;-22.0;25967
244040;317230;75° UFO F11;75.0;28117
244045;317145;-22° UFO F10;-22.0;25967
244050;317240;75° UFO F11;75.0;28117
244055;317155;-22° UFO F10;-22.0;25967
244060;317210;75° UFO F11;75.0;28117
244065;317165;-22° UFO F10;-22.0;25967
244070;317200;75° UFO F11;75.0;28117
244075;317175;-29° UFO F7;-29.0;23967
244085;317185;-29° UFO F7;-29.0;23967
244090;317190;75° UFO F11;75.0;28117
244095;317195;-29° UFO F7;-29.0;23967
244105;317205;-29° UFO F7;-29.0;23967
244115;317215;-29° UFO F7;-29.0;23967
244125;317225;-29° UFO F7;-29.0;23967
244135;317235;-29° UFO F7;-29.0;23967
244145;317245;-29° UFO F7;-29.0;23967
244155;317255;75° UFO F11;75.0;28117
244165;317265;75° UFO F11;75.0;28117
244175;317275;75° UFO F11;75.0;28117
244185;317285;75° UFO F11;75.0;28117
244195;317295;75° UFO F11;75.0;28117
244205;317305;75° UFO F11;75.0;28117
244225;316775;75° UFO F11;75.0;28117
244275;301025;63° ComSatBw 1;63.0;35943
244850;293550;29° UFO F2;29.0;22787
244975;293000;63° ComSatBw 1;63.0;35943
245800;296200;25° SKYNET 5B;25.0;32294
245850;314230;95° Skynet 5A;95.0;30794
245950;313000;52° Skynet 5D;52.0;39034
246250;295600;32° Skynet 4C;32.0;20776
246525;297750;29° UFO F2;29.0;22787
246700;297700;32° Skynet 4C;32.0;20776
247350;298100;29° UFO F2;29.0;22787
247450;298800;52° Skynet 5D;52.0;39034
248450;;32° Skynet 4C;32.0;20776
248750;311975;13° ComSatBw 2;13.0;36582
248825;294375;75° UFO F11;75.0;28117
248845;302445;75° UFO F11;75.0;28117
248855;302455;75° UFO F11;75.0;28117
248865;302465;75° UFO F11;75.0;28117
248875;302475;75° UFO F11;75.0;28117
248885;302485;75° UFO F11;75.0;28117
248895;302495;75° UFO F11;75.0;28117
248905;302505;75° UFO F11;75.0;28117
248915;302515;75° UFO F11;75.0;28117
248930;316975;75° UFO F11;75.0;28117
248935;302535;75° UFO F11;75.0;28117
248945;302545;75° UFO F11;75.0;28117
248955;302555;75° UFO F11;75.0;28117
248965;302565;75° UFO F11;75.0;28117
248975;302575;-29° UFO F7;-29.0;23967
248985;302585;-29° UFO F7;-29.0;23967
248990;302525;75° UFO F11;75.0;28117
248995;302595;-29° UFO F7;-29.0;23967
249000;302600;75° UFO F11;75.0;28117
249005;302605;-29° UFO F7;-29.0;23967
249010;;75° UFO F11;75.0;28117
249015;302615;-29° UFO F7;-29.0;23967
249025;302625;-29° UFO F7;-29.0;23967
249035;302635;-29° UFO F7;-29.0;23967
249045;302645;-29° UFO F7;-29.0;23967
249050;302650;75° UFO F11;75.0;28117
249055;302655;-29° UFO F7;-29.0;23967
249065;302665;-29° UFO F7;-29.0;23967
249075;302675;-29° UFO F7;-29.0;23967
249085;302685;-29° UFO F7;-29.0;23967
249095;302695;-29° UFO F7;-29.0;23967
249100;302700;75° UFO F11;75.0;28117
249105;302705;-22° UFO F10;-22.0;25967
249115;302715;-22° UFO F10;-22.0;25967
249125;302725;-22° UFO F10;-22.0;25967
249135;302735;-22° UFO F10;-22.0;25967
249145;302745;-22° UFO F10;-22.0;25967
249155;302755;-22° UFO F10;-22.0;25967
249165;302765;-22° UFO F10;-22.0;25967
249175;302775;-22° UFO F10;-22.0;25967
249185;302785;-22° UFO F10;-22.0;25967
249195;302795;-22° UFO F10;-22.0;25967
249205;302805;-22° UFO F10;-22.0;25967
249215;302815;-22° UFO F10;-22.0;25967
249225;302825;-22° UFO F10;-22.0;25967
249235;302835;75° UFO F11;75.0;28117
249245;302845;75° UFO F11;75.0;28117
249250;302850;-22° UFO F10;-22.0;25967
249255;302855;75° UFO F11;75.0;28117
249265;302865;75° UFO F11;75.0;28117
249275;302875;75° UFO F11;75.0;28117
249285;302885;75° UFO F11;75.0;28117
249295;302895;75° UFO F11;75.0;28117
249300;302900;-22° UFO F10;-22.0;25967
249305;302905;75° UFO F11;75.0;28117
249315;302915;75° UFO F11;75.0;28117
249325;302925;75° UFO F11;75.0;28117
249335;302935;75° UFO F11;75.0;28117
249345;302945;75° UFO F11;75.0;28117
249350;302950;-22° UFO F10;-22.0;25967
249355;302955;75° UFO F11;75.0;28117
249400;300975;63° ComSatBw 1;63.0;35943
249450;299000;95° Skynet 5A;95.0;30794
249490;312850;25° SKYNET 5B;25.0;32294
249560;298760;25° SKYNET 5B;25.0;32294
249580;298740;25° SKYNET 5B;25.0;32294
249800;295000;32° Skynet 4C;32.0;20776
249890;300500;52° Skynet 5D;52.0;39034
249930;308750;25° SKYNET 5B;25.0;32294
249970;295000;95° Skynet 5A;95.0;30794
250050;;25° SKYNET 5B;25.0;32294
250090;312600;25° SKYNET 5B;25.0;32294
250200;;95° Skynet 5A;95.0;30794
250350;294875;75° UFO F11;75.0;28117
250700;295050;75° UFO F11;75.0;28117
250750;300300;25° SKYNET 5B;25.0;32294
250900;314950;13° ComSatBw 2;13.0;36582
250950;299500;25° SKYNET 5B;25.0;32294
251000;296500;75° UFO F11;75.0;28117
251350;298225;72° Intelsat 22;72.0;38098
251575;308450;72° Intelsat 22;72.0;38098
251800;300350;29° UFO F2;29.0;22787
251850;292850;75° UFO F11;75.0;28117
251950;292950;-22° UFO F10;-22.0;25967
251950;292950;172° UFO F4;172.0;23467
252050;293050;172° UFO F4;172.0;23467
252050;293050;-22° UFO F10;-22.0;25967
252150;293150;72° Intelsat 22;72.0;38098
252200;310175;41° SICRAL 2;41.0;40614
252250;316350;41° SICRAL 2;41.0;40614
252300;293300;72° Intelsat 22;72.0;38098
252350;310225;14° SICRAL1B;14.0;34810
252400;293275;14° SICRAL1B;14.0;34810
252450;293200;14° SICRAL1B;14.0;34810
252500;309800;14° SICRAL1B;14.0;34810
252550;310400;14° SICRAL1B;14.0;34810
252625;311450;14° SICRAL1B;14.0;34810
252750;306300;25° SKYNET 5B;25.0;32294
253300;307800;25° SKYNET 5B;25.0;32294
253550;294550;75° UFO F11;75.0;28117
253600;316250;25° SKYNET 5B;25.0;32294
253625;295450;75° UFO F11;75.0;28117
253650;294650;172° UFO F4;172.0;23467
253650;294650;29° UFO F2;29.0;22787
253675;294425;75° UFO F11;75.0;28117
253725;293725;72° Intelsat 22;72.0;38098
253750;294750;172° UFO F4;172.0;23467
253750;294750;-29° UFO F7;-29.0;23967
253825;294050;-22° UFO F10;-22.0;25967
253850;294850;-22° UFO F10;-22.0;25967
253850;294850;125° FltSatCom F8;125.0;20253
253950;312800;52° Skynet 5D;52.0;39034
253975;294975;72° Intelsat 22;72.0;38098
254000;298630;75° UFO F11;75.0;28117
254025;308350;72° Intelsat 22;72.0;38098
254500;308100;72° Intelsat 22;72.0;38098
254530;308130;72° Intelsat 22;72.0;38098
254625;295625;72° Intelsat 22;72.0;38098
254650;306400;29° UFO F2;29.0;22787
254730;312550;52° Skynet 5D;52.0;39034
254775;317825;13° ComSatBw 2;13.0;36582
255100;318175;29° UFO F2;29.0;22787
255250;296250;75° UFO F11;75.0;28117
255275;297400;75° UFO F11;75.0;28117
255350;296350;172° UFO F4;172.0;23467
255350;296350;29° UFO F2;29.0;22787
255450;296450;-29° UFO F7;-29.0;23967
255450;296450;172° UFO F4;172.0;23467
255550;296550;125° FltSatCom F8;125.0;20253
255650;306630;72° Intelsat 22;72.0;38098
255675;296675;72° Intelsat 22;72.0;38098
255775;315100;63° ComSatBw 1;63.0;35943
255850;296850;72° Intelsat 22;72.0;38098
256250;309100;29° UFO F2;29.0;22787
256450;313850;52° Skynet 5D;52.0;39034
256650;311700;25° SKYNET 5B;25.0;32294
256850;297850;75° UFO F11;75.0;28117
256875;293950;-22° UFO F10;-22.0;25967
256950;297950;172° UFO F4;172.0;23467
256950;297950;29° UFO F2;29.0;22787
256975;316850;72° Intelsat 22;72.0;38098
257050;298050;-29° UFO F7;-29.0;23967
257075;297450;72° Intelsat 22;72.0;38098
257150;298150;125° FltSatCom F8;125.0;20253
257175;298125;75° UFO F11;75.0;28117
257200;308800;29° UFO F2;29.0;22787
257250;316900;29° UFO F2;29.0;22787
257300;309725;29° UFO F2;29.0;22787
257350;307200;29° UFO F2;29.0;22787
257450;305950;13° ComSatBw 2;13.0;36582
257600;305950;95° Skynet 5A;95.0;30794
257700;316150;52° Skynet 5D;52.0;39034
257750;308400;32° Skynet 4C;32.0;20776
257775;311375;72° Intelsat 22;72.0;38098
257850;297075;172° UFO F4;172.0;23467
258025;317975;25° SKYNET 5B;25.0;32294
258225;299300;29° UFO F2;29.0;22787
258350;299350;75° UFO F11;75.0;28117
258450;299450;172° UFO F4;172.0;23467
258450;299450;29° UFO F2;29.0;22787
258500;299500;75° UFO F11;75.0;28117
258550;299550;-29° UFO F7;-29.0;23967
258550;299550;172° UFO F4;172.0;23467
258600;294825;-22° UFO F10;-22.0;25967
258650;299650;75° UFO F11;75.0;28117
258700;312900;32° Skynet 4C;32.0;20776
259000;317925;63° ComSatBw 1;63.0;35943
259975;309700;14° SICRAL1B;14.0;34810
260025;310575;14° SICRAL1B;14.0;34810
260075;310275;14° SICRAL1B;14.0;34810
260125;310125;14° SICRAL1B;14.0;34810
260175;294600;14° SICRAL1B;14.0;34810
260250;314400;25° SKYNET 5B;25.0;32294
260375;293975;75° UFO F11;75.0;28117
260425;294025;172° UFO F4;172.0;23467
260425;294025;-22° UFO F10;-22.0;25967
260450;297575;75° UFO F11;75.0;28117
260475;294075;75° UFO F11;75.0;28117
260500;317130;75° UFO F11;75.0;28117
260525;294125;-22° UFO F10;-22.0;25967
260525;294125;172° UFO F4;172.0;23467
260550;293800;75° UFO F11;75.0;28117
260575;294175;-29° UFO F7;-29.0;23967
260575;294175;172° UFO F4;172.0;23467
260625;294225;75° UFO F11;75.0;28117
260675;294275;-29° UFO F7;-29.0;23967
260675;294275;172° UFO F4;172.0;23467
260725;295350;75° UFO F11;75.0;28117
260900;313050;52° Skynet 5D;52.0;39034
261100;298380;95° Skynet 5A;95.0;30794
261200;294950;25° SKYNET 5B;25.0;32294
261400;316550;25° SKYNET 5B;25.0;32294
261575;295175;75° UFO F11;75.0;28117
261600;306975;72° Intelsat 22;72.0;38098
261625;295225;-22° UFO F10;-22.0;25967
261625;295225;172° UFO F4;172.0;23467
261650;309650;72° Intelsat 22;72.0;38098
261675;295275;75° UFO F11;75.0;28117
